inorganic_formula_1_orbital_LUMO_energy,inorganic_formula_1_element_property_MagpieData mean Number,inorganic_formula_1_element_property_MagpieData range Number,inorganic_formula_1_element_property_MagpieData avg_dev Number,inorganic_formula_1_element_property_MagpieData mean MendeleevNumber,inorganic_formula_1_element_property_MagpieData maximum MendeleevNumber,inorganic_formula_1_element_property_MagpieData avg_dev MendeleevNumber,inorganic_formula_1_element_property_MagpieData avg_dev AtomicWeight,inorganic_formula_1_element_property_MagpieData mean MeltingT,inorganic_formula_1_element_property_MagpieData avg_dev MeltingT,inorganic_formula_1_element_property_MagpieData mean Column,inorganic_formula_1_element_property_MagpieData mean Row,inorganic_formula_1_element_property_MagpieData avg_dev Row,inorganic_formula_1_element_property_MagpieData mean CovalentRadius,inorganic_formula_1_element_property_MagpieData mean Electronegativity,inorganic_formula_1_element_property_MagpieData avg_dev Electronegativity,inorganic_formula_1_element_property_MagpieData mean NsValence,inorganic_formula_1_element_property_MagpieData avg_dev NsValence,inorganic_formula_1_element_property_MagpieData mean NpValence,inorganic_formula_1_element_property_MagpieData avg_dev NpValence,inorganic_formula_1_element_property_MagpieData mean NdValence,inorganic_formula_1_element_property_MagpieData avg_dev NdValence,inorganic_formula_1_element_property_MagpieData mean NValence,inorganic_formula_1_element_property_MagpieData avg_dev NValence,inorganic_formula_1_element_property_MagpieData mean NsUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NsUnfilled,inorganic_formula_1_element_property_MagpieData mean NpUnfilled,inorganic_formula_1_element_property_MagpieData mean NdUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NdUnfilled,inorganic_formula_1_element_property_MagpieData mean NfUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NfUnfilled,inorganic_formula_1_element_property_MagpieData mean GSvolume_pa,inorganic_formula_1_element_property_MagpieData avg_dev GSvolume_pa,inorganic_formula_1_element_property_MagpieData mean GSbandgap,inorganic_formula_1_element_property_MagpieData avg_dev GSbandgap,inorganic_formula_1_element_property_MagpieData mean SpaceGroupNumber,inorganic_formula_1_element_property_MagpieData avg_dev SpaceGroupNumber,inorganic_formula_1_element_fraction_Na,inorganic_formula_1_element_fraction_Cl,inorganic_formula_1_element_fraction_Zr,inorganic_formula_1_element_fraction_Ta,inorganic_formula_2_orbital_HOMO_energy,inorganic_formula_2_orbital_LUMO_energy,inorganic_formula_2_element_property_MagpieData mean Electronegativity,inorganic_formula_2_element_property_MagpieData minimum Electronegativity,inorganic_formula_3_element_fraction_Ta,inorganic_formula_4_element_property_MagpieData mean NUnfilled,inorganic_formula_4_element_property_MagpieData range GSvolume_pa,inorganic_formula_4_element_property_MagpieData avg_dev GSvolume_pa,inorganic_formula_4_element_property_MagpieData mean SpaceGroupNumber,inorganic_formula_4_element_property_MagpieData maximum SpaceGroupNumber,Time（h）,Speed (RPM),temperature(℃),if Autonomous synthesis,Target(ms cm-1)
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,36,600,25,0,0.8
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,40,600,25,0,4
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,46,600,25,0,3
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,53,600,25,0,4
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,60,600,25,0,0.4
-0.32038,20.81818182,62,8.771349862,71.66666667,94,31.21212121,22.32361728,436.8672727,389.7656749,12.84848485,3.333333333,0.585858586,122.8181818,2.545151515,0.857061524,1.848484848,0.257116621,3.515151515,2.069788797,0.212121212,0.3728191,6.03030303,2.137741047,0.151515152,0.257116621,0.848484848,1,1.757575758,0.393939394,0.764003673,25.50277778,2.53543771,1.737545455,1.053057851,110.6969697,65.09274564,0.151515152,0.696969697,0.03030303,0.03030303,-0.32038,-0.103415,2.045,0.93,0,6.25,12.7425,4.7784375,96.5,194,2,500,25,0,0.88
-0.21776,21.93255132,61,10.85453341,70.81407625,94,32.63707742,27.93019301,429.325132,383.6938107,12.56832845,3.351906158,0.621253687,123.0369501,2.537108504,0.876797413,1.82111437,0.293771123,3.519061584,2.084605396,0.145454545,0.269752066,6.771260997,2.064791324,0.17888563,0.293771123,0.703812317,0.581818182,1.079008264,0.35659824,0.681405905,25.56861975,1.997715594,1.754604106,1.03938425,107.5173021,61.25602635,0.17888563,0.703812317,0,0,-0.32038,-0.103415,2.045,0.93,0,2.4,2.2975,0.7352,90,194,15,500,25,0,0.25
-0.32038,21.70014771,61,10.36333289,70.68419498,94,33.06229368,26.77187515,415.1736928,360.7057742,12.6478582,3.35450517,0.625227729,123.3128508,2.54465288,0.872574941,1.82717873,0.285908158,3.545051699,2.063146779,0.185524372,0.327202512,6.500738552,2.257051158,0.17282127,0.285908158,0.70901034,0.996159527,1.75688992,0,0,25.79300443,2.32107276,1.767562777,1.028684984,107.8774003,62.21906098,0.17282127,0.70901034,0,0,-0.32038,-0.103415,2.045,0.93,0,2.4,2.2975,0.7352,90,194,15,500,25,0,0.09
-0.32038,21.76952748,62,9.512175511,74.88331726,94,29.49536392,24.53922973,352.5067727,279.1232752,13.62873674,3.385728062,0.672265365,121.3751205,2.677862424,0.743895971,1.900032144,0.179948568,3.857280617,1.763115731,0.156862745,0.273387915,6.112182578,1.734378515,0.099967856,0.179948568,0.771456123,1.128897461,1.967496635,0,0,26.30069645,3.013578999,1.923240116,0.879089503,97.70459659,52.00323486,0.099967856,0.771456123,0,0.014143362,-0.32038,-0.103415,2.045,0.93,0,2,6.3775,1.771527778,91.5,229,15,500,25,0,0.00036
-0.32038,22.31148584,62,10.5805954,75.56665606,94,28.15146386,27.34304671,438.0949443,421.6646658,13.58160993,3.381800827,0.666420407,120.3226217,2.676356984,0.738621215,1.890868597,0.19444348,3.818008272,1.805141678,0.236716513,0.413180652,6.711740375,1.78517579,0.109131403,0.19444348,0.763601654,1.035952911,1.808220703,0,0,25.56593488,2.446671661,1.903658925,0.90004364,100.4667515,55.69214357,0.109131403,0.763601654,0,0.054724785,-0.32038,-0.103415,2.045,0.93,0,2,6.3775,1.771527778,91.5,229,15,500,25,0,1.8
